unix,low,high,open,close,volume,date,vol_fiat
1616976000,44.6299,49.3201,45.938,48.2746,63913.28,2021-03-29,3085388.0266879997
1616889600,43.6343,47.1479,43.8615,45.838,63901.267,2021-03-28,2929106.276746
1616803200,43.609,47.1311,46.9777,43.8464,69674.183,2021-03-27,3054962.0974912005
1616716800,38.6413,48.0,39.0153,46.8925,97884.652,2021-03-26,4590056.04391
1616630400,38.7403,43.8974,42.78,39.0161,123932.683,2021-03-25,4835369.9531963
1616544000,41.2,48.0,45.5399,42.882,78071.779,2021-03-24,3347874.0270779994
1616457600,44.85,48.7961,46.7912,45.6264,63158.343,2021-03-23,2881687.8210552
1616371200,46.2,52.65,49.9089,46.75,82408.55,2021-03-22,3852599.7125
1616284800,48.69,53.3985,51.5707,49.909,86497.386,2021-03-21,4316998.037874
1616198400,51.4618,55.9873,54.2179,51.5707,123079.348,2021-03-20,6347288.1319036
1616112000,50.11,59.5497,59.1547,54.25,241252.503,2021-03-19,13087948.28775
1616025600,47.6947,67.4949,47.6947,59.0854,556901.263,2021-03-18,32904733.884860203
1615939200,43.8966,50.0,44.8515,47.6117,211021.778,2021-03-17,10047105.587602599
1615852800,41.5251,51.0,43.5092,44.8515,305362.523,2021-03-16,13695967.2003345
1615766400,39.8011,46.12,41.5577,43.5094,132946.417,2021-03-15,5784418.835819799
1615680000,41.4803,44.5889,42.8837,41.5501,68833.06,2021-03-14,2860020.526306
1615593600,40.4214,44.5,41.0228,42.8837,73570.772,2021-03-13,3154986.9152164
1615507200,40.0,44.596,44.1033,41.016,70925.169,2021-03-12,2909066.7317039995
1615420800,39.5401,46.3271,40.3287,44.0856,197520.655,2021-03-11,8707816.588068
1615334400,39.4988,43.7,41.6651,40.3132,115324.491,2021-03-10,4649099.2705812
1615248000,40.1204,42.97,41.1251,41.6703,86407.37,2021-03-09,3600621.0301109995
1615161600,38.9843,42.1,39.4959,41.1246,114285.287,2021-03-08,4699936.7137602
1615075200,39.0359,40.5333,39.1485,39.5207,53832.314,2021-03-07,2127490.7318998
1614988800,38.305,39.7,39.4767,39.1447,38168.249,2021-03-06,1494084.6566303002
1614902400,37.5519,40.0,39.1397,39.4696,72533.861,2021-03-05,2862882.4801256
1614816000,38.51,43.4833,42.6438,39.1478,108792.478,2021-03-04,4258986.1702483995
